"y2_statefips","y2_countyfips","y1_statefips","y1_countyfips","y1_state","y1_countyname","n1","n2","agi"
19,1,96,0,"IA","Adair County Total Migration-US and Foreign",167,311,6431
19,1,19,1,"IA","Adair County Non-migrants",2761,5775,149122
19,3,96,0,"IA","Adams County Total Migration-US and Foreign",69,143,2696
19,3,19,3,"IA","Adams County Non-migrants",1441,3061,74421
19,5,96,0,"IA","Allamakee County Total Migration-US and Foreign",239,410,10537
19,5,19,5,"IA","Allamakee County Non-migrants",5441,11810,279816
19,7,96,0,"IA","Appanoose County Total Migration-US and Foreign",197,375,8491
19,7,19,7,"IA","Appanoose County Non-migrants",4383,9267,210402
19,9,96,0,"IA","Audubon County Total Migration-US and Foreign",92,172,3426
19,9,19,9,"IA","Audubon County Non-migrants",2175,4547,133139
19,11,96,0,"IA","Benton County Total Migration-US and Foreign",604,1124,28781
19,11,19,11,"IA","Benton County Non-migrants",9616,21357,682239
19,13,96,0,"IA","Black Hawk County Total Migration-US and Foreign",2427,4233,112220
19,13,19,13,"IA","Black Hawk County Non-migrants",46826,96100,3191971
19,15,96,0,"IA","Boone County Total Migration-US and Foreign",721,1370,35429
19,15,19,15,"IA","Boone County Non-migrants",10027,21306,707752
19,17,96,0,"IA","Bremer County Total Migration-US and Foreign",607,1156,29971
19,17,19,17,"IA","Bremer County Non-migrants",8900,20078,679615
19,19,96,0,"IA","Buchanan County Total Migration-US and Foreign",437,879,19341
19,19,19,19,"IA","Buchanan County Non-migrants",7562,17135,473578
19,21,96,0,"IA","Buena Vista County Total Migration-US and Foreign",464,840,17437
19,21,19,21,"IA","Buena Vista County Non-migrants",7500,17060,478745
19,23,96,0,"IA","Butler County Total Migration-US and Foreign",274,516,11644
19,23,19,23,"IA","Butler County Non-migrants",5528,12243,337343
19,25,96,0,"IA","Calhoun County Total Migration-US and Foreign",188,321,8659
19,25,19,25,"IA","Calhoun County Non-migrants",3639,7806,213579
19,27,96,0,"IA","Carroll County Total Migration-US and Foreign",385,745,16523
